CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
ARZOBISPO ESPINOSA;1000;24;23500;979.2;1;35;CONTRAFRENTE;;;;;;BOCA;4;-58.368555625426595;-34.633460207781738
ARZOBISPO ESPINOSA;1100;28;25000;892.9;1;28;CONTRAFRENTE;;;;;;BOCA;4;-58.367554633089135;-34.633232759230118
ASAMBLEA;100;70;38000;542.9;3;30;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.425796340432882;-34.631349737305356
ASAMBLEA;100;70;47000;671.4;3;30;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.425796340432882;-34.631349737305356
ASAMBLEA;800;68;45000;661.8;3;25;FRENTE;SI;;;;;PARQUE CHACABUCO;7;-58.435340814758312;-34.634407088436198
ASAMBLEA;800;60;60000;1000.0;3;30;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.435340814758312;-34.634407088436198
ASAMBLEA;1100;85;57000;670.6;3;30;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.43893222406922;-34.6351318113852
ASAMBLEA;1200;30;31000;1033.3;1;0;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.441257945313929;-34.635602980680765
ASAMBLEA;1300;61;55000;901.6;3;35;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.441925481028143;-34.63573925731388
ASAMBLEA;1900;65;34500;530.8;3;40;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.449531322597508;-34.638717321712242
ASUNCION;4200;95;115000;1210.5;3;9;FRENTE;;SI;;;;VILLA DEVOTO;11;-58.513013766434447;-34.602198109786173
ASUNCION;5200;57;33000;578.9;3;35;FRENTE;;;;;;VILLA DEVOTO;11;-58.526369150779502;-34.610761969442386
AUSTRIA;1800;65;75000;1153.8;3;70;LATERAL;;;;;;RECOLETA;2;-58.407133092498867;-34.590094900752774
