CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
BOLIVAR;1100;67;47000;701.5;3;0;FRENTE;;;;;;SAN TELMO;1;-58.372686599649114;-34.620719317632172
BOLIVAR;1400;62;35500;572.6;3;35;LATERAL;;;;;;SAN TELMO;1;-58.372507642214302;-34.624288527135256
BOLIVAR;1400;53;28000;528.3;3;40;INTERNO;;;;;;SAN TELMO;1;-58.372507642214302;-34.624288527135256
BOLIVAR;1400;70;55800;797.1;3;60;FRENTE;;;;;;SAN TELMO;1;-58.372507642214302;-34.624288527135256
BOLIVAR;1500;53;28000;528.3;3;0;LATERAL;;;;;;SAN TELMO;1;-58.372460134347726;-34.625450436958403
BOLIVAR;1699;55;30000;545.5;3;77;FRENTE;;;;;;BARRACAS;4;-58.37247280293608;-34.628231687535305
BOLIVIA;95;76;59000;776.3;3;0;;;;;;;FLORES;7;-58.465709038168178;-34.629617289981248
BOLIVIA;100;60;55000;916.7;3;45;CONTRAFRENTE;;;;;;FLORES;7;-58.465380007916174;-34.62957393470834
BOLIVIA;178;68;40000;588.2;3;0;FRENTE;;;;;;FLORES;7;-58.465979521768169;-34.628209408908468
BOLIVIA;300;90;54500;605.6;3;45;FRENTE;;;;;;FLORES;7;-58.466175276837596;-34.627766015805307
BOLIVIA;1500;150;65000;433.3;3;0;CONTRAFRENTE;;;;;;VILLA GRAL. MITRE;11;-58.472957281810935;-34.61501671150436
BOLIVIA;1900;65;55000;846.2;3;10;FRENTE;;SI;;;;VILLA GRAL. MITRE;11;-58.475906829962128;-34.611319240191648
BOLIVIA;5000;77;45000;584.4;3;30;CONTRAFRENTE;;;;;;VILLA PUEYRREDON;12;-58.501235049611637;-34.58171076019088
BOLIVIA;5900;50;35000;700.0;3;45;FRENTE;;;;;;VILLA PUEYRREDON;12;-58.507507574067517;-34.574774806490403
BONIFACIO, JOSE;100;70;66000;942.9;3;30;FRENTE;;;;;;CABALLITO;6;-58.428374625900567;-34.626065740077365
BONIFACIO, JOSE;300;60;47000;783.3;3;22;CONTRAFRENTE;;;;;;CABALLITO;6;-58.43118727133259;-34.626473575949539
BONIFACIO, JOSE;600;47;39000;829.8;3;45;LATERAL;;;;;;CABALLITO;6;-58.435883576344239;-34.627162428259268
BONIFACIO, JOSE;600;73;64500;883.6;3;A ESTRENAR;CONTRAFRENTE;;;;;;CABALLITO;6;-58.435883576344239;-34.627162428259268
BONIFACIO, JOSE;758;67;51000;761.2;3;0;CONTRAFRENTE;;;;;;CABALLITO;6;-58.438222440163102;-34.627505101991602
BONIFACIO, JOSE;1100;68;67000;985.3;3;5;FRENTE;;SI;;;;CABALLITO;6;-58.443116305812644;-34.628214220946283
BONIFACIO, JOSE;1200;34;36700;1079.4;1;0;CONTRAFRENTE;;;;;;CABALLITO;6;-58.444029390358665;-34.628353815529856
BONIFACIO, JOSE;1200;37;38600;1043.2;1;0;FRENTE;;;;;;CABALLITO;6;-58.444029390358665;-34.628353815529856
BONIFACIO, JOSE;1700;78;68000;871.8;3;6;FRENTE;;SI;;;;FLORES;7;-58.452042572813951;-34.629647248884744
BONIFACIO, JOSE;1750;85;72000;847.1;3;8;FRENTE;SI;SI;;;;FLORES;7;-58.452847513096216;-34.62990086660988
BONIFACIO, JOSE;2200;52;37000;711.5;3;45;FRENTE;SI;;;;;FLORES;7;-58.458167681689716;-34.631603506278665
BONIFACIO, JOSE;2400;50;35500;710.0;3;28;LATERAL;;;;;;FLORES;7;-58.461147998891363;-34.632518885158156
BONIFACIO, JOSE;2900;55;38000;690.9;3;20;FRENTE;;;;;;FLORES;7;-58.467894577663749;-34.634581282421472
BONIFACIO, JOSE;4200;65;22000;338.5;3;45;FRENTE;;;;;;PARQUE AVELLANEDA;9;-58.484947524200877;-34.6412819803137
BONORINO, ESTEBAN, Cnel.;60;80;70000;875.0;3;0;;SI;SI;;;;FLORES;7;-58.459380456383805;-34.628628100844693
BONPLAND;1100;58;39900;687.9;3;35;FRENTE;;;;;;CHACARITA;15;-58.443437452200484;-34.588168219464904
BONPLAND;1915;55;33000;600.0;3;0;;;;;;;PALERMO;14;-58.435363498494354;-34.581819384694199
BONPLAND;2200;64;69000;1078.1;3;10;CONTRAFRENTE;SI;SI;;;;PALERMO;14;-58.43310932742866;-34.579458702849657
BORGES, JORGE LUIS;2300;65;65000;1000.0;3;30;CONTRAFRENTE;;;;;;PALERMO;14;-58.423208900749245;-34.583655986250811
BORGES, JORGE LUIS;2400;48;55000;1145.8;3;20;FRENTE;;;;;;PALERMO;14;-58.422076726708404;-34.582742906484356
BOSCH, VENTURA;7000;54;33000;611.1;3;25;CONTRAFRENTE;SI;;;;;LINIERS;9;-58.524755584850759;-34.642935772215004
BOSCH, VENTURA;7000;62;36000;580.6;3;0;FRENTE;;;;;;LINIERS;9;-58.524755584850759;-34.642935772215004
BOULEGNE SUR MER;200;50;35000;700.0;3;0;LATERAL;;;;;;BALVANERA;3;-58.407490552835014;-34.606632478609242
BOULOGNE SUR MER;600;64;49500;773.4;3;25;CONTRAFRENTE;;;;;;BALVANERA;3;-58.406474446174641;-34.604410619725321
BOULOGNE SUR MER;800;47;37900;806.4;3;35;FRENTE;;;;;;BALVANERA;3;-58.40576844845684;-34.601753785521218
BOULOGNE SUR MER;973;76;59000;776.3;3;40;FRENTE;;;;;;BALVANERA;3;-58.405298561595671;-34.599254797645351
BOYACA;50;92;69000;750.0;3;30;FRENTE;SI;;;;;FLORES;7;-58.457207784559436;-34.626217293948358
BOYACA;86;43;44000;1023.3;3;34;CONTRAFRENTE;;;;;;FLORES;7;-58.457461059219959;-34.625849561442216
BOYACA;100;43;44000;1023.3;3;35;CONTRAFRENTE;;;;;;FLORES;7;-58.457559554306023;-34.62570655422541
BOYACA;500;60;36000;600.0;3;50;LATERAL;;;;;;FLORES;7;-58.46053949773534;-34.621400234467664
BOYACA;1300;60;52900;881.7;3;20;CONTRAFRENTE;SI;SI;;;;VILLA GRAL. MITRE;11;-58.465613573014735;-34.614502336017509
BOYACA;1600;52;39500;759.6;3;33;FRENTE;;;;;;VILLA GRAL. MITRE;11;-58.467949894746809;-34.61142398085547
BOYACA;2200;65;43900;675.4;3;0;FRENTE;;;;;;VILLA GRAL. MITRE;11;-58.472557539496037;-34.605384787946448
BRANDSEN;500;61;27000;442.6;3;30;FRENTE;;SI;;;;BOCA;4;-58.360787988463947;-34.635220598527887
BRANDSEN;600;54;25500;472.2;3;30;;;;;;;BOCA;4;-58.362190994063887;-34.635794446234108
BRANDSEN;600;64;34000;531.3;3;0;CONTRAFRENTE;;SI;;;;BOCA;4;-58.362190994063887;-34.635794446234108
BRASIL;400;80;56000;700.0;3;85;INTERNO;;;;;;SAN TELMO;1;-58.369768024700193;-34.625162168786872
BRASIL;600;35;26000;742.9;1;0;INTERNO;;;;;;SAN TELMO;1;-58.372646270337441;-34.625345456346082
BRASIL;800;57;35000;614.0;3;50;LATERAL;;;;;;SAN TELMO;1;-58.375175454323177;-34.625544407712027
BRASIL;900;60;37500;625.0;3;30;LATERAL;;;;;;CONSTITUCION;1;-58.376339664819895;-34.626170140454626
BRASIL;2400;50;36000;720.0;3;25;CONTRAFRENTE;;;;;;PARQUE PATRICIOS;4;-58.396331779604296;-34.630242287999707
BRASIL;3100;60;55000;916.7;3;A ESTRENAR;CONTRAFRENTE;;;;;;PARQUE PATRICIOS;4;-58.406078139063986;-34.6335590888132
BRAVARD;1144;65;59800;920.0;3;0;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.438555389178347;-34.604571615979189
BRAVO, MARIO;100;72;38000;527.8;3;40;CONTRAFRENTE;;;;;;ALMAGRO;5;-58.417566634850608;-34.609596473525201
BRAVO, MARIO;200;26;28400;1092.3;1;0;LATERAL;;;;;;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;200;32;35200;1100.0;1;0;LATERAL;;;;;;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;200;48;36000;750.0;3;25;CONTRAFRENTE;;SI;;;;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;200;28;29000;1035.7;1;30;CONTRAFRENTE;;;;;;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;200;78;52000;666.7;3;30;FRENTE;;SI;;;;ALMAGRO;5;-58.417668051410963;-34.608575715201866
BRAVO, MARIO;1000;65;58000;892.3;3;40;FRENTE;;;;;;ALMAGRO;5;-58.416165690328917;-34.597884619427113
BRAVO, MARIO;1022;51;42900;841.2;3;0;FRENTE;;;;;;PALERMO;14;-58.416049218400133;-34.597560214733676
BRAVO, MARIO;1100;60;46900;781.7;3;0;FRENTE;;;;;;PALERMO;14;-58.415684258909593;-34.59669689020874
BRAVO, MARIO;1191;62;63000;1016.1;3;9;FRENTE;;;;;;RECOLETA;2;-58.414940395287246;-34.595756922811042
BRAVO, MARIO;1300;71;76500;1077.5;3;0;CONTRAFRENTE;;SI;;;;PALERMO;14;-58.414925794416504;-34.59490296130754
BRIN, Ministro;700;52;19500;375.0;3;55;FRENTE;;;;;;BOCA;4;-58.359168721365187;-34.630084275638382
BROWN, ALTE.;400;49;32000;653.1;3;35;FRENTE;;;;;;BOCA;4;-58.364717261197669;-34.629318797419465
BROWN, ALTE.;700;54;39000;722.2;3;28;FRENTE;;;;;;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;700;61;39000;639.3;3;40;FRENTE;SI;;;;;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;700;60;35000;583.3;3;0;CONTRAFRENTE;;;;;;BOCA;4;-58.362277052301799;-34.630925312480763
BROWN, ALTE.;800;70;45000;642.9;3;18;FRENTE;;;;;;BOCA;4;-58.360873002841046;-34.631849604336189
BROWN, ALTE.;800;70;37500;535.7;3;27;CONTRAFRENTE;;;;;;BOCA;4;-58.360873002841046;-34.631849604336189
BROWN, ALTE.;900;65;23900;367.7;3;60;CONTRAFRENTE;;;;;;BOCA;4;-58.360190905818968;-34.632785891178578
BROWN, ALTE.;1000;65;23900;367.7;3;0;CONTRAFRENTE;;;;;;BOCA;4;-58.359716155223936;-34.633593797797765
BROWN, ALTE.;1200;63;25500;404.8;3;30;FRENTE;;;;;;BOCA;4;-58.358740605420138;-34.635257341911853
BRUSELAS;800;66;65000;984.8;3;3;CONTRAFRENTE;;SI;;;;VERSALLES;10;-58.523093841041941;-34.62823714901014
BRUSELAS;1300;58;45000;775.9;3;5;FRENTE;;;;;;VILLA REAL;10;-58.525404882913229;-34.62276745881983
BRUSELAS;1300;67;53500;798.5;3;5;FRENTE;;;;;;VILLA REAL;10;-58.525404882913229;-34.62276745881983
BUCARELLI;1921;70;65000;928.6;3;A ESTRENAR;CONTRAFRENTE;SI;SI;;;;VILLA URQUIZA;12;-58.484018204304846;-34.580263964005411
BUCARELLI;1923;65;71000;1092.3;3;A ESTRENAR;CONTRAFRENTE;;SI;;;;VILLA URQUIZA;12;-58.484036097265843;-34.580242985723302
BUCARELLI;2100;60;45000;750.0;3;45;LATERAL;;;;;;VILLA URQUIZA;12;-58.485940014708476;-34.578479744861461
BUCARELLI;2800;53;42000;792.5;3;18;FRENTE;;;;;;VILLA URQUIZA;12;-58.491388494580811;-34.572670591392054
BUCARELLI;3200;66;52000;787.9;3;7;FRENTE;;;;;;VILLA URQUIZA;12;-58.494310503322211;-34.569033577792332
BUCARELLI;3200;40;35000;875.0;1;0;FRENTE;;;;;;VILLA URQUIZA;12;-58.494310503322211;-34.569033577792332
BUCARELLI;3300;50;42500;850.0;3;25;LATERAL;;;;;;VILLA URQUIZA;12;-58.495137862293113;-34.568001090510776
BUFANO, ALFREDO R.;1700;80;43000;537.5;3;35;CONTRAFRENTE;;;;;;VILLA GRAL. MITRE;11;-58.471052578516371;-34.613035969184132
BUFANO, ALFREDO R.;2600;83;52900;637.3;3;0;FRENTE;;;;;;VILLA DEL PARQUE;11;-58.478130697889981;-34.603924707151165
BULNES;100;52;42000;807.7;3;60;FRENTE;;;;;;ALMAGRO;5;-58.418324893236068;-34.610964537386423
BULNES;100;61;46500;762.3;3;50;CONTRAFRENTE;;;;;;ALMAGRO;5;-58.418324893236068;-34.610964537386423
BULNES;600;49;30900;630.6;3;50;FRENTE;SI;;;;;ALMAGRO;5;-58.418188270589688;-34.605283086070308
BULNES;600;96;69000;718.8;3;0;CONTRAFRENTE;SI;;;;;ALMAGRO;5;-58.418188270589688;-34.605283086070308
BULNES;700;70;68500;978.6;3;30;FRENTE;SI;SI;;;;ALMAGRO;5;-58.418051348493918;-34.604541387786107
BULNES;1200;60;69000;1150.0;3;6;CONTRAFRENTE;;;;;;ALMAGRO;5;-58.417347303634003;-34.598904102993011
BULNES;1251;65;79000;1215.4;3;0;FRENTE;;SI;;;;PALERMO;14;-58.417292998483475;-34.597222452522288
BULNES;1300;82;80000;975.6;3;35;FRENTE;;;;;;PALERMO;14;-58.417095539216632;-34.59782098703613
BULNES;1400;55;59000;1072.7;3;22;CONTRAFRENTE;;;;;;PALERMO;14;-58.416829428185821;-34.596643196437661
BULNES;1700;59;48000;813.6;3;45;CONTRAFRENTE;;;;;;PALERMO;14;-58.41594974221703;-34.592804678506617
BULNES;1815;42;60000;1428.6;1;0;FRENTE;;;;;;PALERMO;14;-58.413070611762485;-34.589427894339124
BULNES;1815;55;86000;1563.6;1;0;FRENTE;;;;;;PALERMO;14;-58.413070611762485;-34.589427894339124
BULNES;1900;74;84000;1135.1;3;42;FRENTE;;;;;;PALERMO;14;-58.413756407787602;-34.590560003388084
BULNES;2091;85;92000;1082.4;3;0;FRENTE;SI;SI;;;;PALERMO;14;-58.411630400961002;-34.587921803808968
BULNES;2700;95;143000;1505.3;3;40;FRENTE;;SI;;;;PALERMO;14;-58.40639538426997;-34.581152180072614
BULNES;3000;83;84000;1012.0;3;0;FRENTE;;;;;;PALERMO;14;-58.405725044039052;-34.579742033339762
BURELA;2100;86;84000;976.7;3;7;FRENTE;;;;;;VILLA URQUIZA;12;-58.489709487909948;-34.580615186086554
BURELA;2148;62;59000;951.6;3;0;;;SI;;;;VILLA URQUIZA;12;-58.490203278989377;-34.579981789262838
BURELA;2200;79;69500;879.7;3;A ESTRENAR;CONTRAFRENTE;SI;;;;;VILLA URQUIZA;12;-58.490709105470202;-34.579332943839624
BURELA;2500;68;54800;805.9;3;20;FRENTE;;;;;;VILLA URQUIZA;12;-58.492846790979151;-34.576759589078861
CABELLO;3100;102;118000;1156.9;3;25;CONTRAFRENTE;;;;;;PALERMO;14;-58.404671239009957;-34.582486005032564
CABELLO;3200;60;80000;1333.3;3;30;CONTRAFRENTE;;;;;;PALERMO;14;-58.405530553436272;-34.582213994218996
CABELLO;3300;39;60500;1551.3;1;0;;;;;;;PALERMO;14;-58.406604211060795;-34.58187602241879
CABELLO;3300;24;39000;1625.0;1;30;FRENTE;;;;;;PALERMO;14;-58.406604211060795;-34.58187602241879
CABELLO;3300;70;92000;1314.3;3;0;CONTRAFRENTE;SI;SI;;;;PALERMO;14;-58.406604211060795;-34.58187602241879
CABELLO;3400;47;69000;1468.1;3;25;FRENTE;;;;;;PALERMO;14;-58.407651914476993;-34.581546607171859
CABELLO;3500;120;172000;1433.3;3;0;;;;;;;PALERMO;14;-58.408613314119712;-34.581244287528648
CABELLO;3700;20;41000;2050.0;1;30;;;;;;;PALERMO;14;-58.410353559045092;-34.580695899926312
CABELLO;3700;87;120000;1379.3;3;0;FRENTE;;;;;;PALERMO;14;-58.410353559045092;-34.580695899926312
CABELLO;3800;100;135000;1350.0;3;A ESTRENAR;;;;;;;PALERMO;14;-58.411806992495848;-34.580249866289009
CABELLO;3900;69;85000;1231.9;3;60;CONTRAFRENTE;;;;;;PALERMO;14;-58.413028969011826;-34.57986786508107
CABEZON, JOSE LEON;2400;67;39000;582.1;3;30;FRENTE;;;;;;VILLA PUEYRREDON;12;-58.49945923989354;-34.579539088584681
CABEZON, JOSE LEON;2800;70;64000;914.3;3;30;CONTRAFRENTE;;;;;;VILLA PUEYRREDON;12;-58.503967119028985;-34.582327928701012
CABILDO;100;80;62000;775.0;3;40;FRENTE;;;;;;PALERMO;14;-58.437094642506459;-34.5741830835521
CABILDO;280;55;45500;827.3;3;0;FRENTE;;;;;;PALERMO;14;-58.439485910821389;-34.572962299143271
CABILDO;500;93;90000;967.7;3;30;CONTRAFRENTE;SI;SI;;;;COLEGIALES;13;-58.442004545233061;-34.571574327053732
CABILDO;510;98;83000;846.9;3;0;FRENTE;;;;;;COLEGIALES;13;-58.442107320945333;-34.571517699359553
CABILDO;900;48;47500;989.6;3;40;FRENTE;;;;;;COLEGIALES;13;-58.445767921315316;-34.569676118058844
CABILDO;900;83;75000;903.6;3;40;CONTRAFRENTE;;;;;;COLEGIALES;13;-58.445767921315316;-34.569676118058844
CABILDO;1000;76;98000;1289.5;3;40;FRENTE;;;;;;COLEGIALES;13;-58.446560538041908;-34.569286930683845
CABILDO;1100;55;52000;945.5;3;30;LATERAL;;;;;;COLEGIALES;13;-58.447119326628055;-34.569005643890698
CABILDO;1100;90;75000;833.3;3;0;;;;;;;COLEGIALES;13;-58.447119326628055;-34.569005643890698
CABILDO;2000;80;89000;1112.5;3;0;FRENTE;;;;;;BELGRANO;13;-58.455985247967398;-34.563090856902136
CABILDO;2200;105;96000;914.3;3;25;CONTRAFRENTE;SI;;;;;BELGRANO;13;-58.457630915580573;-34.561174406568909
CABILDO;2300;67;61000;910.4;3;28;LATERAL;;;;;;BELGRANO;13;-58.458410251020545;-34.560258111696484
CABILDO;2300;100;85000;850.0;3;30;FRENTE;;;;;;BELGRANO;13;-58.458410251020545;-34.560258111696484
CABILDO;2300;110;87000;790.9;3;0;CONTRAFRENTE;;;;;;BELGRANO;13;-58.458410251020545;-34.560258111696484
CABILDO;2500;83;80000;963.9;3;60;FRENTE;;;;;;BELGRANO;13;-58.46003036779296;-34.558385526226608
CABILDO;2700;70;51000;728.6;3;0;FRENTE;;;;;BALCON;BELGRANO;13;-58.461339471590328;-34.556978712457777
CABILDO;2900;50;40900;818.0;3;40;CONTRAFRENTE;;;;;;BELGRANO;13;-58.462645863291328;-34.555580595056654
CABILDO;2900;105;75000;714.3;3;40;CONTRAFRENTE;;;;;;BELGRANO;13;-58.462645863291328;-34.555580595056654
CABILDO;2900;107;90000;841.1;3;0;FRENTE;;;;;;BELGRANO;13;-58.462645863291328;-34.555580595056654
CABILDO;3200;57;56000;982.5;3;25;CONTRAFRENTE;SI;SI;;;;NUÑEZ;13;-58.465253631317459;-34.552843155787777
CABILDO;3900;59;62000;1050.8;3;3;CONTRAFRENTE;;;;;;SAAVEDRA;12;-58.469531474249166;-34.547492252156481
CABILDO;4100;51;53000;1039.2;3;30;CONTRAFRENTE;SI;;;;;SAAVEDRA;12;-58.470557121835299;-34.546153989421882
CABILDO;4800;60;61000;1016.7;3;28;CONTRAFRENTE;SI;SI;;;;SAAVEDRA;12;-58.474481121795499;-34.540849730238556
CABRERA, JOSE A.;3000;27;27900;1033.3;1;22;FRENTE;;;;;;RECOLETA;2;-58.407587899895184;-34.596852062597037
CABRERA, JOSE A.;3500;70;93000;1328.6;3;A ESTRENAR;;;;;;;RECOLETA;2;-58.414258055227045;-34.596634313491393
CABRERA, JOSE A.;3800;35;43000;1228.6;1;0;LATERAL;;;;;;PALERMO;14;-58.41874631154932;-34.596427623120569
CABRERA, JOSE A.;3800;80;69000;862.5;3;0;CONTRAFRENTE;;;;;;PALERMO;14;-58.41874631154932;-34.596427623120569
CABRERA, JOSE A.;3841;67;54000;806.0;3;0;CONTRAFRENTE;;;;;;PALERMO;14;-58.420883807633388;-34.59659701896048
CACHIMAYO;100;70;47000;671.4;3;35;FRENTE;;;;;;CABALLITO;6;-58.442195983217026;-34.622001382209497
CACHIMAYO;400;72;85000;1180.6;3;A ESTRENAR;FRENTE;;;;;;CABALLITO;6;-58.441484291905041;-34.625049860088367
CAJARAVILLA;4300;28;26000;928.6;1;15;FRENTE;;;;;;VELEZ SARSFIELD;10;-58.485296855882098;-34.638669528847608
CALASANZ, SAN JOSE DE;100;52;45000;865.4;3;20;LATERAL;;;;;;CABALLITO;6;-58.439162899111523;-34.619494859446498
CALASANZ, SAN JOSE DE;500;70;62900;898.6;3;0;FRENTE;;;;;;CABALLITO;6;-58.437892753993722;-34.623238288266002
CALASANZ, SAN JOSE DE;600;75;62900;838.7;3;0;FRENTE;;;;;;CABALLITO;6;-58.437873250654071;-34.624735149632862
CALCENA;500;54;38500;713.0;3;25;FRENTE;;;;;;FLORES;7;-58.457589687436347;-34.621698278421519
CALDAS;1900;80;57000;712.5;3;27;FRENTE;;;;;;VILLA ORTUZAR;15;-58.470875671720236;-34.583919540038934
CALDERON DE LA BARCA, PEDRO;1500;75;34800;464.0;3;38;FRENTE;;;;;;MONTE CASTRO;10;-58.507055386817221;-34.625703706903778
CALIFORNIA;2100;18;18900;1050.0;1;0;LATERAL;;;;;;BARRACAS;4;-58.37651933423323;-34.647429301393508
CALLAO;100;90;75000;833.3;3;60;FRENTE;;;;;;BALVANERA;3;-58.392195019990218;-34.608023007444217
CALLAO;200;98;75000;765.3;3;0;FRENTE;;;;;;BALVANERA;3;-58.392273675647587;-34.606822580806536
CALLAO;257;24;35000;1458.3;1;19;FRENTE;SI;;;;;SAN NICOLAS;1;-58.391995187518155;-34.606128565487218
CALLAO;500;65;71500;1100.0;3;30;CONTRAFRENTE;;;;;;BALVANERA;3;-58.392547732950327;-34.603196177833034
CALLAO;500;70;55000;785.7;3;30;LATERAL;;;;;;BALVANERA;3;-58.392547732950327;-34.603196177833034
CALLAO;500;90;66000;733.3;3;0;CONTRAFRENTE;SI;;;;;BALVANERA;3;-58.392547732950327;-34.603196177833034
CALLAO;531;81;76000;938.3;3;50;FRENTE;;;;;;SAN NICOLAS;1;-58.392290810241597;-34.602769900604919
CALLAO;600;63;70000;1111.1;3;50;FRENTE;;;;;;BALVANERA;3;-58.392754127846615;-34.602006390474934
CALLAO;700;92;85000;923.9;3;70;FRENTE;;;;;;BALVANERA;3;-58.392927539905841;-34.600825991825751
CALLAO;900;42;75000;1785.7;1;3;FRENTE;;;;;;RECOLETA;2;-58.393196818625675;-34.59874128345573
CALLAO;1200;68;160000;2352.9;3;20;FRENTE;;SI;;;;RECOLETA;2;-58.39335907678884;-34.594822239378402
CALLAO;1200;65;117000;1800.0;3;25;CONTRAFRENTE;;;;;;RECOLETA;2;-58.39335907678884;-34.594822239378402
CALLAO;1200;35;94000;2685.7;1;0;FRENTE;;;;;;RECOLETA;2;-58.39335907678884;-34.594822239378402
CALLAO;1300;162;189000;1166.7;3;60;FRENTE;;SI;;;;RECOLETA;2;-58.393242386349691;-34.593828395216818
CALLAO;1300;72;76000;1055.6;3;0;;;;;;;RECOLETA;2;-58.393242386349691;-34.593828395216818
CALLAO;1497;100;138000;1380.0;3;0;;;;;;;RECOLETA;2;-58.391810856209979;-34.591893156128684
CALLAO;1800;170;165000;970.6;3;0;FRENTE;;SI;;;;RECOLETA;2;-58.38911752421064;-34.589059511463859
CALVO, CARLOS;384;60;44000;733.3;3;0;CONTRAFRENTE;;;;;;SAN TELMO;1;-58.371249875211639;-34.619621425596669
CALVO, CARLOS;600;47;35000;744.7;3;32;LATERAL;;;;;;SAN TELMO;1;-58.374259069015842;-34.619798775807773
CALVO, CARLOS;1600;55;34500;627.3;3;35;FRENTE;;;;;;CONSTITUCION;1;-58.388790527010649;-34.620185338086813
CALVO, CARLOS;1800;39;50000;1282.1;1;50;LATERAL;;;;;;CONSTITUCION;1;-58.391602301054554;-34.620358893592901
CALVO, CARLOS;1800;22;25000;1136.4;1;60;;;;;;;CONSTITUCION;1;-58.391602301054554;-34.620358893592901
CALVO, CARLOS;2400;85;43500;511.8;3;60;FRENTE;;;;;;SAN CRISTOBAL;3;-58.39977934756012;-34.621039452348498
CALVO, CARLOS;3600;55;32900;598.2;3;50;CONTRAFRENTE;;;;;;BOEDO;5;-58.416139630793381;-34.62405015804044
CAMACUA;50;82;83000;1012.2;3;43;FRENTE;;;;;;FLORES;7;-58.45867515150681;-34.628249551821597
CAMACUA;100;61;36500;598.4;3;40;CONTRAFRENTE;;;;;;FLORES;7;-58.458990248692494;-34.627629785189043
CAMACUA;100;82;83000;1012.2;3;43;FRENTE;;;;;;FLORES;7;-58.458990248692494;-34.627629785189043
CAMACUA;100;69;40000;579.7;3;0;CONTRAFRENTE;;;;;;FLORES;7;-58.458990248692494;-34.627629785189043
CAMACUA;600;65;64000;984.6;3;5;FRENTE;;SI;;;;FLORES;7;-58.456191044858137;-34.633300319361901
CAMACUA;600;55;46000;836.4;3;15;CONTRAFRENTE;SI;SI;;;;FLORES;7;-58.456191044858137;-34.633300319361901
CAMARGO;900;60;39500;658.3;3;0;;SI;;;;;VILLA CRESPO;15;-58.443781584271562;-34.597356643968546
CAMARONES;1500;100;55000;550.0;3;0;FRENTE;;;;;;PATERNAL;15;-58.462202947791546;-34.603450718149247
CAMARONES;5200;57;50000;877.2;3;1;;;;;;;VELEZ SARSFIELD;10;-58.50475535950121;-34.62827849117474
CAMPANA;2900;67;46500;694.0;3;27;CONTRAFRENTE;;;;;;VILLA DEL PARQUE;11;-58.495610448798878;-34.60380684747556
CAMPANA;3000;99;82000;828.3;3;25;FRENTE;;SI;;;;VILLA DEL PARQUE;11;-58.496118672288723;-34.603129681475025
CAMPANA;5300;48;39000;812.5;3;25;CONTRAFRENTE;;;;;;VILLA DEVOTO;11;-58.51192468222893;-34.584836977989774
CAMPICHUELO;100;61;54000;885.2;3;45;CONTRAFRENTE;;;;;;CABALLITO;6;-58.433545400511385;-34.615604438454618
CAMPICHUELO;200;60;53900;898.3;3;25;FRENTE;;;;;;CABALLITO;6;-58.433771147360495;-34.615124486320589
CAMPICHUELO;600;53;54000;1018.9;3;4;FRENTE;;SI;;;;CABALLITO;6;-58.435849518925224;-34.610357740494827
CAMPICHUELO;600;47;42000;893.6;3;25;LATERAL;;;;;;CABALLITO;6;-58.435849518925224;-34.610357740494827
CAMPOS SALLES;2300;75;69500;926.7;3;20;FRENTE;;;;;;NUÑEZ;13;-58.464655258159745;-34.551619599720517
CAMPOS, LUIS M.;11;46;48000;1043.5;3;30;CONTRAFRENTE;;SI;;;;PALERMO;14;-58.430329148788609;-34.575440567799127
CAMPOS, LUIS M.;100;78;55000;705.1;3;50;LATERAL;;;;;;PALERMO;14;-58.430467087878348;-34.5753156162761
CAMPOS, LUIS M.;200;50;45000;900.0;3;20;FRENTE;;;;;;PALERMO;14;-58.429087678248571;-34.576565124506629
CAMPOS, LUIS M.;200;21;29900;1423.8;1;30;FRENTE;;;;;;PALERMO;14;-58.429087678248571;-34.576565124506629
CAMPOS, LUIS M.;300;60;59900;998.3;3;25;CONTRAFRENTE;;;;;;PALERMO;14;-58.431873931185144;-34.574046349627878
CAMPOS, LUIS M.;400;61;65000;1065.6;3;27;CONTRAFRENTE;;;;;;PALERMO;14;-58.432422413890443;-34.573506616162085
CAMPOS, LUIS M.;1000;49;51000;1040.8;3;25;LATERAL;;;;;;PALERMO;14;-58.437213229001962;-34.568276626727936
CAMPOS, LUIS M.;1300;72;73000;1013.9;3;30;CONTRAFRENTE;;;;;;PALERMO;14;-58.441372335084651;-34.56471327955984
CAMPOS, LUIS M.;1500;100;115000;1150.0;3;50;CONTRAFRENTE;;;;;;BELGRANO;13;-58.44251884495057;-34.563521060235267
CANADA DE GOMEZ;1068;97;37500;386.6;3;0;;;;;;;LINIERS;9;-58.518553806231751;-34.650202693544152
